;F.O.;Tiempo (s);Dev (%);#Best;
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local;;;;Búsqueda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
Grasp24pmed11v3.10.2.txt;9672,24454;2,6970592;0,08006;0;9430,87306;2,8134802;0,05310;0;8955,31348;15,0203878;0,00000;1;;8955,31348
Grasp52pmed1v3.10.2.txt;8576,26247;0,2893268;0,13509;0;7886,96295;0,3044826;0,04386;0;7555,60868;1,6309802;0,00000;1;;7555,60868
Grasp21pmed6v3.10.2.txt;9838,76663;1,1483367;0,08084;0;9406,93859;1,2750263;0,03340;0;9102,86490;7,4016983;0,00000;1;;9102,86490
Grasp43pmed7v3.10.2.txt;9105,65849;5,4424380;0,13299;0;8654,10592;5,7584133;0,07680;0;8036,86019;25,6128528;0,00000;1;;8036,86019
Grasp77pmed2v3.10.2.txt;6927,67477;1,0097025;0,15291;0;6395,33678;1,0916352;0,06432;0;6008,86676;4,3102254;0,00000;1;;6008,86676
Grasp97pmed3v3.10.2.txt;7689,46955;1,2488734;0,13189;0;7389,27599;1,3678111;0,08770;0;6793,50665;5,4098230;0,00000;1;;6793,50665
Grasp87pmed4v3.10.2.txt;7457,13287;5,6190599;0,12435;0;6963,43927;6,0707727;0,04992;0;6632,37821;14,9636396;0,00000;1;;6632,37821
Grasp51pmed5v3.10.2.txt;5842,59903;16,5045845;0,23088;0;5292,48019;17,6240640;0,11498;0;4746,69496;32,0666547;0,00000;1;;4746,69496
Grasp25pmed8v3.10.2.txt;8984,24121;24,2700183;0,17861;0;8463,80076;25,2199893;0,11034;0;7622,73979;69,4492851;0,00000;1;;7622,73979
Grasp48pmed9v3.10.2.txt;7889,88514;139,7925717;0,22607;0;7182,22330;144,1435641;0,11610;0;6435,09011;264,4290765;0,00000;1;;6435,09011
