;F.O.;Tiempo (s);Dev (%);#Best
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
pmed11v3.10.2.txt;12196,22513;0,0016303;0,11850;0;10904,11299;0,0412487;0,00000;1;;10904,11299
Ran0pmed11v3.10.2.txt;13787,19146;0,0002375;0,15918;0;11893,90268;0,0034524;0,00000;1;;11893,90268
Ran1pmed11v3.10.2.txt;15313,02981;0,0002443;0,18480;0;12924,54725;0,0035752;0,00000;1;;12924,54725
Ran2pmed11v3.10.2.txt;13321,56126;0,0002378;0,22732;0;10854,18092;0,0034610;0,00000;1;;10854,18092
Ran3pmed11v3.10.2.txt;14866,07998;0,0001407;0,10001;0;13514,46983;0,0022458;0,00000;1;;13514,46983
Ran4pmed11v3.10.2.txt;16373,16565;0,0001710;0,24940;0;13104,77259;0,0037267;0,00000;1;;13104,77259
Ran5pmed11v3.10.2.txt;11962,74248;0,0002619;0,18334;0;10109,31281;0,0288341;0,00000;1;;10109,31281
Ran6pmed11v3.10.2.txt;14087,68528;0,0000474;0,11995;0;12578,88231;0,0005519;0,00000;1;;12578,88231
Ran7pmed11v3.10.2.txt;14158,85616;0,0000378;0,23932;0;11424,74213;0,0006387;0,00000;1;;11424,74213
Ran8pmed11v3.10.2.txt;16165,62724;0,0000551;0,32795;0;12173,37660;0,0008505;0,00000;1;;12173,37660
Ran9pmed11v3.10.2.txt;12761,61737;0,0000541;0,09454;0;11659,29977;0,0008276;0,00000;1;;11659,29977
Ran10pmed11v3.10.2.txt;13531,10151;0,0000333;0,16594;0;11605,29942;0,0036028;0,00000;1;;11605,29942
Ran11pmed11v3.10.2.txt;15232,53312;0,0000267;0,15474;0;13191,33058;0,0003650;0,00000;1;;13191,33058
Ran12pmed11v3.10.2.txt;12509,99401;0,0000223;0,16566;0;10732,14166;0,0015923;0,00000;1;;10732,14166
Ran13pmed11v3.10.2.txt;14294,90811;0,0000393;0,25244;0;11413,65743;0,0005907;0,00000;1;;11413,65743
Ran14pmed11v3.10.2.txt;15150,06949;0,0000342;0,09694;0;13811,22158;0,0003343;0,00000;1;;13811,22158
Ran15pmed11v3.10.2.txt;14631,97935;0,0000353;0,11543;0;13117,77259;0,0004159;0,00000;1;;13117,77259
Ran16pmed11v3.10.2.txt;16316,34742;0,0000348;0,18275;0;13795,22158;0,0003390;0,00000;1;;13795,22158
Ran17pmed11v3.10.2.txt;15118,04799;0,0000381;0,14771;0;13172,33058;0,0003393;0,00000;1;;13172,33058
Ran18pmed11v3.10.2.txt;14596,51252;0,0000372;0,11451;0;13096,77259;0,0004425;0,00000;1;;13096,77259
Ran19pmed11v3.10.2.txt;14997,20194;0,0000320;0,15859;0;12944,30366;0,0005631;0,00000;1;;12944,30366
Ran20pmed11v3.10.2.txt;13900,20701;0,0000391;0,13793;0;12215,37660;0,0004485;0,00000;1;;12215,37660
Ran21pmed11v3.10.2.txt;16395,73337;0,0000375;0,16698;0;14049,69222;0,0003425;0,00000;1;;14049,69222
Ran22pmed11v3.10.2.txt;14721,95531;0,0000328;0,17277;0;12553,11705;0,0004618;0,00000;1;;12553,11705
Ran23pmed11v3.10.2.txt;13143,04524;0,0000525;0,15978;0;11332,39869;0,0008104;0,00000;1;;11332,39869
Ran24pmed11v3.10.2.txt;15057,00346;0,0000450;0,16346;0;12941,54725;0,0004266;0,00000;1;;12941,54725
Ran25pmed11v3.10.2.txt;14725,70140;0,0000393;0,17204;0;12564,11705;0,0005508;0,00000;1;;12564,11705
Ran26pmed11v3.10.2.txt;14104,24432;0,0000387;0,08993;0;12940,54725;0,0004364;0,00000;1;;12940,54725
Ran27pmed11v3.10.2.txt;15239,33964;0,0000431;0,19989;0;12700,56608;0,0004941;0,00000;1;;12700,56608
Ran28pmed11v3.10.2.txt;17551,80140;0,0000445;0,29558;0;13547,40096;0,0005466;0,00000;1;;13547,40096
