;F.O.;Tiempo (s);Dev (%);#Best;
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local;;;;Búsqueda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
Grasp55pmed11v3.10.2.txt;9573,79013;2,7852332;0,07998;0;9125,07291;2,9057767;0,02936;0;8864,77210;15,3318442;0,00000;1;;8864,77210
Grasp6pmed1v3.10.2.txt;8950,52628;0,2927692;0,17198;0;8197,73176;0,3051106;0,07341;0;7637,12195;1,5847318;0,00000;1;;7637,12195
Grasp12pmed6v3.10.2.txt;10201,55434;1,1409411;0,10662;0;9817,93172;1,2697428;0,06500;0;9218,67722;7,6926525;0,00000;1;;9218,67722
Grasp1pmed7v3.10.2.txt;9105,13047;5,1102789;0,17780;0;8606,30430;5,3906620;0,11328;0;7730,59915;23,7746708;0,00000;1;;7730,59915
Grasp71pmed2v3.10.2.txt;6664,29051;0,9661830;0,16306;0;5844,26544;1,0395661;0,01995;0;5729,95485;3,9942244;0,00000;1;;5729,95485
Grasp95pmed3v3.10.2.txt;7685,68715;1,2768576;0,18335;0;7153,44740;1,4086999;0,10141;0;6494,83686;5,4437755;0,00000;1;;6494,83686
Grasp33pmed4v3.10.2.txt;7350,81068;5,7319128;0,18866;0;6752,72821;6,1581119;0,09195;0;6184,09511;15,0745473;0,00000;1;;6184,09511
Grasp75pmed5v3.10.2.txt;5681,62095;16,0180102;0,17276;0;5165,78930;16,9957222;0,06629;0;4844,64829;31,4244557;0,00000;1;;4844,64829
Grasp31pmed8v3.10.2.txt;8780,70815;24,5307461;0,18447;0;8249,20429;25,3150497;0,11278;0;7413,18231;71,4119730;0,00000;1;;7413,18231
Grasp40pmed9v3.10.2.txt;7988,56710;137,5183426;0,23543;0;7026,70347;141,3043711;0,08668;0;6466,23160;262,8601987;0,00000;1;;6466,23160
