;F.O.;Tiempo (s);Dev (%);#Best;
Constructivo
B�squeda local


;Constructivo;;;;B�squeda Local;;;;B�squeda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
Grasp47pmed11v3.10.2.txt;8889,58436;4,1689067;0,00568;0;8839,38600;4,5643067;0,00000;1;8868,19952;22,9764039;0,00326;0;;8839,38600
Grasp6pmed1v3.10.2.txt;8072,98681;0,4342454;0,04860;0;7784,03797;0,4804738;0,01107;0;7698,84750;2,3506964;0,00000;1;;7698,84750
Grasp97pmed6v3.10.2.txt;9594,93187;1,6983087;0,04688;0;9228,40157;2,0264572;0,00689;0;9165,27453;10,5572696;0,00000;1;;9165,27453
Grasp21pmed7v3.10.2.txt;8286,12916;7,7362604;0,06647;0;7975,74300;8,7490788;0,02652;0;7769,68026;35,7723670;0,00000;1;;7769,68026
Grasp85pmed2v3.10.2.txt;6313,37559;1,5669502;0,04527;0;6069,43274;1,7948828;0,00489;0;6039,92487;6,4491268;0,00000;1;;6039,92487
Grasp3pmed3v3.10.2.txt;6620,72722;1,7225961;0,02548;0;6456,23551;2,0389829;0,00000;1;6461,02695;6,8555068;0,00074;0;;6456,23551
Grasp28pmed4v3.10.2.txt;6598,58853;8,5095878;0,04885;0;6310,42147;9,5146545;0,00305;0;6291,23268;20,1489456;0,00000;1;;6291,23268
Grasp97pmed5v3.10.2.txt;4416,89897;26,5729251;0,10050;0;4096,85632;28,8821152;0,02076;0;4013,55194;47,4935474;0,00000;1;;4013,55194
Grasp98pmed8v3.10.2.txt;7871,90278;36,9769925;0,06561;0;7427,70506;40,2854651;0,00548;0;7387,23254;102,1183301;0,00000;1;;7387,23254
Grasp87pmed9v3.10.2.txt;6427,31889;239,0053618;0,03769;0;6224,22875;253,7078560;0,00490;0;6193,88832;439,6427134;0,00000;1;;6193,88832
