;F.O.;Tiempo (s);Dev (%);#Best
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
pmed11v3.10.2.txt;12196,22513;0,0008041;0,11850;0;10904,11299;0,0336319;0,00000;1;;10904,11299
Ran0pmed11v3.10.2.txt;13868,85888;0,0002329;0,17294;0;11824,02465;0,0091248;0,00000;1;;11824,02465
Ran1pmed11v3.10.2.txt;15987,31580;0,0002576;0,21085;0;13203,33058;0,0025480;0,00000;1;;13203,33058
Ran2pmed11v3.10.2.txt;14443,82809;0,0002741;0,11361;0;12970,30366;0,0041497;0,00000;1;;12970,30366
Ran3pmed11v3.10.2.txt;12927,60941;0,0002596;0,11543;0;11589,78321;0,0044612;0,00000;1;;11589,78321
Ran4pmed11v3.10.2.txt;12390,51560;0,0001993;0,17802;0;10518,11227;0,0067276;0,00000;1;;10518,11227
Ran5pmed11v3.10.2.txt;17458,15203;0,0002562;0,32346;0;13191,33058;0,0031610;0,00000;1;;13191,33058
Ran6pmed11v3.10.2.txt;13284,57012;0,0002847;0,16270;0;11425,65743;0,0038639;0,00000;1;;11425,65743
Ran7pmed11v3.10.2.txt;15021,25228;0,0002265;0,19671;0;12552,11705;0,0027111;0,00000;1;;12552,11705
Ran8pmed11v3.10.2.txt;13837,69708;0,0001458;0,21139;0;11423,01222;0,0032297;0,00000;1;;11423,01222
Ran9pmed11v3.10.2.txt;13540,34248;0,0000483;0,13714;0;11907,35107;0,0005903;0,00000;1;;11907,35107
Ran10pmed11v3.10.2.txt;15611,61211;0,0000362;0,27803;0;12215,37660;0,0004506;0,00000;1;;12215,37660
Ran11pmed11v3.10.2.txt;11626,62110;0,0000277;0,15261;0;10087,17508;0,0006505;0,00000;1;;10087,17508
Ran12pmed11v3.10.2.txt;12064,01022;0,0000331;0,13147;0;10662,20106;0,0006731;0,00000;1;;10662,20106
Ran13pmed11v3.10.2.txt;12944,50440;0,0000318;0,17894;0;10979,74656;0,0006423;0,00000;1;;10979,74656
Ran14pmed11v3.10.2.txt;16439,25476;0,0000413;0,34417;0;12230,00101;0,0005108;0,00000;1;;12230,00101
Ran15pmed11v3.10.2.txt;12908,53843;0,0000330;0,13097;0;11413,65743;0,0005853;0,00000;1;;11413,65743
Ran16pmed11v3.10.2.txt;13830,63288;0,0000417;0,15868;0;11936,49453;0,0004762;0,00000;1;;11936,49453
Ran17pmed11v3.10.2.txt;13360,01622;0,0000293;0,13787;0;11741,23503;0,0005171;0,00000;1;;11741,23503
Ran18pmed11v3.10.2.txt;17034,61939;0,0000393;0,29238;0;13180,77259;0,0004461;0,00000;1;;13180,77259
Ran19pmed11v3.10.2.txt;14841,71955;0,0000369;0,21415;0;12224,00101;0,0004989;0,00000;1;;12224,00101
Ran20pmed11v3.10.2.txt;13730,11119;0,0000357;0,12266;0;12230,00101;0,0004866;0,00000;1;;12230,00101
Ran21pmed11v3.10.2.txt;13983,19987;0,0000258;0,20046;0;11648,23746;0,0015373;0,00000;1;;11648,23746
