;F.O.;Tiempo (s);Dev (%);#Best
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
pmed11v3.10.2.txt;12196,22513;0,0014997;0,37575;0;8865,17330;0,4714735;0,00000;1;;8865,17330
Ran0pmed11v3.10.2.txt;17840,11514;0,0000618;1,00308;0;8906,34880;0,3083073;0,00000;1;;8906,34880
Ran1pmed11v3.10.2.txt;14348,60722;0,0000388;0,61269;0;8897,29368;0,2583059;0,00000;1;;8897,29368
Ran2pmed11v3.10.2.txt;13950,15595;0,0000509;0,57256;0;8871,01192;0,2022768;0,00000;1;;8871,01192
Ran3pmed11v3.10.2.txt;14301,62270;0,0000826;0,60057;0;8935,32070;0,1861872;0,00000;1;;8935,32070
Ran4pmed11v3.10.2.txt;14336,27537;0,0000363;0,62683;0;8812,41273;0,2061178;0,00000;1;;8812,41273
Ran5pmed11v3.10.2.txt;12925,18506;0,0000537;0,44776;0;8927,72087;0,2675876;0,00000;1;;8927,72087
Ran6pmed11v3.10.2.txt;13457,56362;0,0000473;0,51923;0;8858,17330;0,3290825;0,00000;1;;8858,17330
Ran7pmed11v3.10.2.txt;15106,73966;0,0000344;0,70207;0;8875,51470;0,2145314;0,00000;1;;8875,51470
Ran8pmed11v3.10.2.txt;15857,89029;0,0000467;0,77055;0;8956,49879;0,2250145;0,00000;1;;8956,49879
Ran9pmed11v3.10.2.txt;15017,02740;0,0000283;0,67093;0;8987,23275;0,1595618;0,00000;1;;8987,23275
Ran10pmed11v3.10.2.txt;13667,00726;0,0000305;0,53412;0;8908,72087;0,2010772;0,00000;1;;8908,72087
Ran11pmed11v3.10.2.txt;10901,76665;0,0000425;0,21460;0;8975,60347;0,1608469;0,00000;1;;8975,60347
Ran12pmed11v3.10.2.txt;15928,15808;0,0000427;0,77415;0;8977,90249;0,1781079;0,00000;1;;8977,90249
Ran13pmed11v3.10.2.txt;15142,80524;0,0000262;0,69471;0;8935,32070;0,1955970;0,00000;1;;8935,32070
Ran14pmed11v3.10.2.txt;13625,56115;0,0000231;0,54411;0;8824,22358;0,2084809;0,00000;1;;8824,22358
Ran15pmed11v3.10.2.txt;15892,61490;0,0000281;0,78798;0;8888,58543;0,2015168;0,00000;1;;8888,58543
Ran16pmed11v3.10.2.txt;13451,38588;0,0000402;0,50186;0;8956,49879;0,2079582;0,00000;1;;8956,49879
Ran17pmed11v3.10.2.txt;15545,11303;0,0000249;0,73149;0;8977,90249;0,1343956;0,00000;1;;8977,90249
Ran18pmed11v3.10.2.txt;13629,53115;0,0000459;0,51711;0;8983,89315;0,1831456;0,00000;1;;8983,89315
Ran19pmed11v3.10.2.txt;14828,29871;0,0000257;0,66639;0;8898,47070;0,1784709;0,00000;1;;8898,47070
Ran20pmed11v3.10.2.txt;14014,22106;0,0000853;0,58161;0;8860,75405;0,2449879;0,00000;1;;8860,75405
Ran21pmed11v3.10.2.txt;15936,30322;0,0000300;0,80668;0;8820,75405;0,3474874;0,00000;1;;8820,75405
Ran22pmed11v3.10.2.txt;14728,59201;0,0000219;0,65518;0;8898,47070;0,1995340;0,00000;1;;8898,47070
Ran23pmed11v3.10.2.txt;13800,45159;0,0000654;0,53425;0;8994,89315;0,2048357;0,00000;1;;8994,89315
Ran24pmed11v3.10.2.txt;15547,48471;0,0000201;0,74663;0;8901,43726;0,2272860;0,00000;1;;8901,43726
Ran25pmed11v3.10.2.txt;14951,04915;0,0000421;0,68076;0;8895,41273;0,2421763;0,00000;1;;8895,41273
Ran26pmed11v3.10.2.txt;15637,40300;0,0000258;0,73416;0;9017,25552;0,1980637;0,00000;1;;9017,25552
Ran27pmed11v3.10.2.txt;13401,52973;0,0000555;0,52122;0;8809,72874;0,3564203;0,00000;1;;8809,72874
Ran28pmed11v3.10.2.txt;14180,88802;0,0000519;0,56689;0;9050,32070;0,1784155;0,00000;1;;9050,32070
Ran29pmed11v3.10.2.txt;10381,02898;0,0000485;0,15848;0;8960,89975;0,1679212;0,00000;1;;8960,89975
Ran30pmed11v3.10.2.txt;12979,53380;0,0000361;0,46165;0;8880,06985;0,2445942;0,00000;1;;8880,06985
Ran31pmed11v3.10.2.txt;11652,91022;0,0000463;0,31168;0;8883,96806;0,2612161;0,00000;1;;8883,96806
Ran32pmed11v3.10.2.txt;14100,16522;0,0000388;0,58753;0;8881,84019;0,2103677;0,00000;1;;8881,84019
Ran33pmed11v3.10.2.txt;14366,46543;0,0000368;0,60444;0;8954,17707;0,2073715;0,00000;1;;8954,17707
Ran34pmed11v3.10.2.txt;15120,77859;0,0000253;0,69152;0;8939,19049;0,1470082;0,00000;1;;8939,19049
Ran35pmed11v3.10.2.txt;12194,19483;0,0000316;0,37864;0;8845,09460;0,4535618;0,00000;1;;8845,09460
Ran36pmed11v3.10.2.txt;10764,95624;0,0000349;0,20622;0;8924,56739;0,2408914;0,00000;1;;8924,56739
Ran37pmed11v3.10.2.txt;16691,42434;0,0000341;0,85917;0;8977,90249;0,1438865;0,00000;1;;8977,90249
Ran38pmed11v3.10.2.txt;12065,91977;0,0000457;0,35913;0;8877,70632;0,1960693;0,00000;1;;8877,70632
Ran39pmed11v3.10.2.txt;14990,89552;0,0000233;0,61541;0;9279,95789;0,2324961;0,00000;1;;9279,95789
Ran40pmed11v3.10.2.txt;12266,23098;0,0000262;0,37125;0;8945,32070;0,1644741;0,00000;1;;8945,32070
Ran41pmed11v3.10.2.txt;15549,08835;0,0000242;0,74739;0;8898,47070;0,2145523;0,00000;1;;8898,47070
Ran42pmed11v3.10.2.txt;15082,67948;0,0000229;0,70168;0;8863,42350;0,3001187;0,00000;1;;8863,42350
Ran43pmed11v3.10.2.txt;15398,54252;0,0000595;0,55377;0;9910,46994;0,1200515;0,00000;1;;9910,46994
Ran44pmed11v3.10.2.txt;14329,82970;0,0000287;0,62610;0;8812,41273;0,1634536;0,00000;1;;8812,41273
Ran45pmed11v3.10.2.txt;14273,43238;0,0000323;0,58955;0;8979,51470;0,1913216;0,00000;1;;8979,51470
Ran46pmed11v3.10.2.txt;18192,05042;0,0000245;0,98788;0;9151,47579;0,1055590;0,00000;1;;9151,47579
Ran47pmed11v3.10.2.txt;13749,15146;0,0000240;0,53397;0;8963,14538;0,3366752;0,00000;1;;8963,14538
Ran48pmed11v3.10.2.txt;15461,73198;0,0000409;0,70033;0;9093,34562;0,2068132;0,00000;1;;9093,34562
Ran49pmed11v3.10.2.txt;14877,88505;0,0000435;0,68298;0;8840,22358;0,3427837;0,00000;1;;8840,22358
Ran50pmed11v3.10.2.txt;13261,37091;0,0000312;0,47108;0;9014,69314;0,1972397;0,00000;1;;9014,69314
Ran51pmed11v3.10.2.txt;13303,25654;0,0000288;0,50528;0;8837,75405;0,1533349;0,00000;1;;8837,75405
Ran52pmed11v3.10.2.txt;13048,73801;0,0000352;0,45582;0;8963,14538;0,3481473;0,00000;1;;8963,14538
Ran53pmed11v3.10.2.txt;13140,30381;0,0000266;0,48451;0;8851,58082;0,2480102;0,00000;1;;8851,58082
Ran54pmed11v3.10.2.txt;16388,25779;0,0000352;0,83570;0;8927,54798;0,2278499;0,00000;1;;8927,54798
Ran55pmed11v3.10.2.txt;15187,97366;0,0000214;0,71026;0;8880,49444;0,2428335;0,00000;1;;8880,49444
Ran56pmed11v3.10.2.txt;16637,08342;0,0000360;0,87932;0;8852,72874;0,2301232;0,00000;1;;8852,72874
Ran57pmed11v3.10.2.txt;15563,39823;0,0000307;0,74826;0;8902,22389;0,2399693;0,00000;1;;8902,22389
Ran58pmed11v3.10.2.txt;12713,13575;0,0000360;0,43213;0;8877,09706;0,3704970;0,00000;1;;8877,09706
Ran59pmed11v3.10.2.txt;12620,74519;0,0000518;0,40254;0;8998,51470;0,2243340;0,00000;1;;8998,51470
Ran60pmed11v3.10.2.txt;15625,43908;0,0000767;0,74583;0;8950,13937;0,2811787;0,00000;1;;8950,13937
Ran61pmed11v3.10.2.txt;11328,69117;0,0000459;0,26663;0;8943,98861;0,1397220;0,00000;1;;8943,98861
Ran62pmed11v3.10.2.txt;13690,32786;0,0000235;0,52214;0;8994,14538;0,3170975;0,00000;1;;8994,14538
Ran63pmed11v3.10.2.txt;13574,90471;0,0000329;0,52496;0;8901,81339;0,1779010;0,00000;1;;8901,81339
Ran64pmed11v3.10.2.txt;12785,10130;0,0000807;0,42299;0;8984,66038;0,1900573;0,00000;1;;8984,66038
Ran65pmed11v3.10.2.txt;12804,43346;0,0000232;0,32622;0;9654,84352;0,0908437;0,00000;1;;9654,84352
Ran66pmed11v3.10.2.txt;17496,63400;0,0000302;0,96664;0;8896,71929;0,2075261;0,00000;1;;8896,71929
Ran67pmed11v3.10.2.txt;12933,45681;0,0000229;0,46084;0;8853,44163;0,2017162;0,00000;1;;8853,44163
Ran68pmed11v3.10.2.txt;12071,71260;0,0000275;0,35915;0;8881,84019;0,1758067;0,00000;1;;8881,84019
Ran69pmed11v3.10.2.txt;16681,54602;0,0000222;0,87447;0;8899,35482;0,2348214;0,00000;1;;8899,35482
